RelationName AppearanceTimes(correctHead) CorrectPredictionTimes  PredictionTimes(correctHead) CorretRatio	TotalAppearanceTimes  TotalPredictionTimes   MostFrequentMistake
elaboration-part-whole 1 0 1 0.0 2 1 elaboration-additional:1
evaluation-n 0 0 0 NaN 1 1 NULL
cause 0 0 3 NaN 2 7 NULL
reason 16 4 15 0.25 26 21 elaboration-additional:4
temporal-same-time 11 0 4 0.0 15 6 circumstance:5
Interpretation 0 0 2 NaN 1 2 NULL
elaboration-general-specific 57 43 46 0.7543859649122807 73 49 elaboration-additional:5
circumstance-e 1 0 3 0.0 4 8 elaboration-object-attribute-e:1
antithesis 9 3 9 0.3333333333333333 46 31 elaboration-additional:2
Comparison 6 0 2 0.0 8 8 elaboration-additional:2
Problem-Solution 3 1 1 0.3333333333333333 5 3 elaboration-additional:1
interpretation-s 5 1 5 0.2 22 9 elaboration-additional:3
interpretation-n 0 0 0 NaN 2 0 NULL
temporal-after-e 1 0 0 0.0 1 0 consequence-n:1
Sequence 12 2 7 0.16666666666666666 30 8 List:6
comment-e 5 0 0 0.0 5 0 attribution-e:2
example-e 2 0 4 0.0 2 7 elaboration-set-member-e:1
temporal-same-time-e 1 0 0 0.0 2 1 circumstance:1
condition 26 20 28 0.7692307692307693 34 38 circumstance:3
temporal-after 5 2 4 0.4 7 6 elaboration-additional-e:1
Inverted-Sequence 4 0 0 0.0 4 2 Root:2
means 14 7 11 0.5 18 16 elaboration-additional:2
comparison-e 1 0 0 0.0 1 0 concession:1
comparison 11 2 6 0.18181818181818182 15 8 List:2
elaboration-set-member 6 2 5 0.3333333333333333 6 10 elaboration-additional:2
Disjunction 4 1 5 0.25 6 6 Same-Unit:1
elaboration-set-member-e 7 2 5 0.2857142857142857 9 5 example-e:2
question-answer-s 1 0 0 0.0 1 0 contingency:1
consequence-n 1 0 7 0.0 12 11 comparison:1
contingency 2 0 6 0.0 3 9 manner:1
Topic-Drift 0 0 0 NaN 8 8 NULL
consequence-s 18 0 3 0.0 25 8 elaboration-additional:5
elaboration-object-attribute 15 0 1 0.0 17 3 elaboration-object-attribute-e:12
example 12 4 12 0.3333333333333333 34 38 elaboration-object-attribute-e:2
comment 12 0 3 0.0 29 9 elaboration-additional:8
manner-e 1 0 0 0.0 1 1 circumstance-e:1
Topic-Shift 0 0 0 NaN 5 2 NULL
attribution 271 263 283 0.9704797047970479 329 353 attribution-e:2
evaluation-s 7 0 1 0.0 19 3 elaboration-additional:6
rhetorical-question 1 0 3 0.0 3 7 elaboration-additional:1
result 17 3 6 0.17647058823529413 29 10 elaboration-additional:4
concession 13 4 7 0.3076923076923077 34 21 Same-Unit:2
attribution-n 5 2 3 0.4 6 6 attribution:3
summary-n 3 0 8 0.0 6 14 elaboration-additional:3
Topic-Comment 1 0 0 0.0 2 1 evaluation-s:1
enablement 0 0 3 NaN 3 7 NULL
evidence 5 1 10 0.2 12 27 Same-Unit:1
Question-Answer 3 2 7 0.6666666666666666 3 16 List:1
TextualOrganization 6 3 9 0.5 9 24 elaboration-additional-e:1
concession-e 1 0 1 0.0 2 1 antithesis-e:1
purpose 32 27 51 0.84375 43 61 elaboration-object-attribute-e:5
elaboration-general-specific-e 4 1 5 0.25 4 9 example-e:1
summary-s 0 0 1 NaN 1 1 NULL
problem-solution-n 0 0 0 NaN 4 0 NULL
circumstance 34 15 36 0.4411764705882353 80 64 condition:5
elaboration-additional 126 61 164 0.48412698412698413 312 362 List:10
Consequence 3 0 2 0.0 3 4 List:2
hypothetical 2 0 6 0.0 6 10 Question-Answer:1
Contrast 40 4 11 0.1 64 32 List:6
List 105 67 108 0.638095238095238 206 179 elaboration-additional:13
Reason 1 0 1 0.0 1 3 elaboration-additional:1
restatement 11 0 6 0.0 13 14 elaboration-additional-e:3
elaboration-part-whole-e 1 0 1 0.0 1 1 example-e:1
interpretation-s-e 1 0 0 0.0 1 1 List:1
elaboration-additional-e 63 31 60 0.49206349206349204 69 65 elaboration-object-attribute-e:24
Proportion 1 0 0 0.0 2 0 circumstance:1
Temporal-Same-Time 7 0 4 0.0 8 5 List:2
definition 13 12 13 0.9230769230769231 16 16 elaboration-additional:1
temporal-before 4 1 3 0.25 6 5 circumstance:3
Cause-Result 9 0 0 0.0 10 0 List:3
consequence-n-e 1 0 1 0.0 1 1 elaboration-object-attribute-e:1
condition-e 1 0 0 0.0 5 0 condition:1
background-e 0 0 0 NaN 1 0 NULL
reason-e 0 0 0 NaN 1 0 NULL
elaboration-object-attribute-e 228 181 257 0.793859649122807 250 316 purpose:14
analogy 1 0 1 0.0 1 3 elaboration-object-attribute-e:1
explanation-argumentative 40 4 12 0.1 70 26 elaboration-additional:16
Same-Unit 106 95 124 0.8962264150943396 127 172 evidence:2
preference 0 0 0 NaN 2 1 NULL
attribution-e 7 6 13 0.8571428571428571 8 17 elaboration-additional:1
Root 31 30 36 0.967741935483871 38 51 elaboration-object-attribute-e:1
background 4 1 2 0.25 26 13 elaboration-additional:2
manner 6 0 8 0.0 8 13 elaboration-additional-e:1
restatement-e 12 7 8 0.5833333333333334 12 8 restatement:3
Statement-Response 1 0 1 0.0 6 15 Same-Unit:1
elaboration-process-step-e 1 0 0 0.0 1 0 elaboration-object-attribute-e:1
