RelationName CorrectPredictionTimes PredictionTimes TotalAppearanceTimes
elaboration-part-whole 0 4 2
evaluation-n 0 3 1
cause 0 6 2
reason 6 30 26
temporal-same-time 0 6 15
Interpretation 0 4 1
elaboration-general-specific 43 47 73
circumstance-e 0 5 4
antithesis 12 41 46
Comparison 0 7 8
Problem-Solution 1 2 5
interpretation-s 1 17 22
interpretation-n 0 1 2
temporal-after-e 0 0 1
Sequence 2 13 30
comment-e 0 1 5
example-e 0 6 2
temporal-same-time-e 0 0 2
condition 25 38 34
temporal-after 3 12 7
Inverted-Sequence 0 4 4
means 9 19 18
comparison-e 0 0 1
comparison 2 13 15
elaboration-set-member 2 15 6
Disjunction 1 7 6
elaboration-set-member-e 2 6 9
question-answer-s 0 0 1
consequence-n 0 12 12
contingency 0 15 3
Topic-Drift 1 5 8
consequence-s 0 8 25
elaboration-object-attribute 0 3 17
example 8 34 34
comment 0 13 29
manner-e 0 0 1
Topic-Shift 1 2 5
attribution 307 358 329
evaluation-s 0 4 19
rhetorical-question 0 5 3
result 6 18 29
concession 9 26 34
attribution-n 3 10 6
summary-n 0 16 6
Topic-Comment 0 0 2
enablement 0 7 3
evidence 1 21 12
Question-Answer 2 20 3
TextualOrganization 4 20 9
concession-e 0 1 2
purpose 32 59 43
elaboration-general-specific-e 1 10 4
summary-s 0 8 1
problem-solution-n 1 3 4
circumstance 25 67 80
elaboration-additional 116 307 312
Consequence 0 7 3
hypothetical 0 12 6
Contrast 8 31 64
List 111 179 206
Reason 0 2 1
restatement 1 13 13
elaboration-part-whole-e 0 1 1
interpretation-s-e 0 2 1
elaboration-additional-e 35 66 69
Proportion 0 0 2
Temporal-Same-Time 0 8 8
definition 12 15 16
temporal-before 2 8 6
Cause-Result 0 2 10
consequence-n-e 0 1 1
condition-e 0 1 5
background-e 0 0 1
reason-e 0 0 1
elaboration-object-attribute-e 194 292 250
analogy 0 1 1
explanation-argumentative 4 28 70
Same-Unit 105 148 127
preference 0 1 2
attribution-e 7 16 8
Root 37 52 38
background 3 17 26
manner 1 15 8
restatement-e 7 8 12
Statement-Response 0 10 6
elaboration-process-step-e 0 0 1
